participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,16,0,1,2230,0,1561.320960521698
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,16,1,1,1090,0,713.4730219841003
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,16,0,1,980,0,875.5789995193481
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,16,0,0,830,0,532.8510403633118
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,17,0,1,2150,0,976.0519862174988
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,17,1,1,1080,0,862.3539805412292
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,17,0,1,970,0,770.1500058174133
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,17,1,0,870,0,616.6759729385376
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,18,1,0,1990,0,1972.7439880371094
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,18,1,1,1060,0,943.4499740600586
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,18,0,1,960,0,681.7839741706848
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,18,1,1,910,0,688.5249614715576
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,19,1,1,2030,0,955.0069570541382
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,19,0,0,1020,0,609.1409921646118
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_12,19,1,1,940,0,777.1199941635132
ADMIN-UCSF-BK004,2017-10-16 21:08:48+00:00,2017-10-19 21:30:24+00:00,,Feature_4,19,1,1,900,0,604.9759984016418
